"","timestamp","course.delivered","instructor.communicated","hear","interest","department","verbs","useful","gender","ethnicity","outside.barriers","inside.barriers","what.barriers","position"
"1",2015-04-23,7,6,"Email from the D-Lab mailing list",7,NA,"This was a helpful workshop. 

Kelly was a clear instructor and knowledgeable of the material. 

Please keep these training sessions coming!",7,"Male/Man","Asian American",2,1,NA,"Visiting fellow or researcher"
"2",2015-04-23,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Male/Man","White",1,1,NA,"Faculty"
"3",2015-04-23,7,5,"Email from the D-Lab mailing list",7,NA,NA,7,"Decline to state","White",1,1,NA,"Faculty"
"4",2015-04-23,6,6,"Library website",6,NA,NA,6,"Female/Woman","White",3,1,NA,"Faculty"
"5",2015-04-23,7,7,"Email from another mailing list",6,NA,NA,6,"Female/Woman","White",1,1,NA,"Librarian"
"6",2015-04-23,6,6,NA,7,NA,NA,6,"Male/Man","Decline to state",1,1,NA,"Administrative staff title"
"7",2015-04-22,3,2,"Found it on the D-Lab website",6,NA,"I felt like this was more of an overview of tools that programmers use rather than an introduction to the theory and basic knowledge of programming itself. For me at least, the latter would have been more helpful, and seemed to be a necessary prerequisite for the material presented here. I appreciate the instructor's friendly attitude, but I didn't get a clear sense of a sense of a trajectory as we progressed from topic to topic.",3,"Male/Man","White",1,1,NA,"PhD student, dissertation stage"
"8",2015-04-22,6,4,"Email from the D-Lab mailing list",7,NA,"Thank you for this class. I started with basically zero knowledge, so I really appreciate how no previous knowledge was assumed. It was a bit hard to follow as it went on because I think the pace picked up a little and I couldn't see on the screen very well what was going on (lighting, and hard to see the cursor), but overall still glad I came. 
",7,NA,"Decline to state",NA,NA,NA,NA
"9",2015-04-22,5,4,"Found it on the D-Lab website",7,NA,"The initial class was far too large, which made it easy to fall behind. Additionally, it would have been much more helpful if we'd periodically stopped to check that everyone was up to speed. I also feel that it would be helpful to have a handout which outlined everything that was going to be covered, so that in case of falling behind, it would be easier to reference the instructions that might have been missed. ",4,"Female/Woman","White",1,1,NA,"PhD student, pre-dissertation"
"10",2015-04-21,7,7,"Heard about it from a friend/colleague",7,NA,NA,7,"Female/Woman","International",1,1,NA,"Visiting fellow or researcher"
"11",2015-04-20,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Female/Woman","White",4,1,NA,"Masters student"
"12",2015-04-20,6,6,"Heard about it from a friend/colleague",5,NA,NA,5,"Female/Woman","White",1,1,NA,"Masters student"
